,Word,A,E,I,O,U,Consonants
0,In,0,0,1,0,0,1
1,computer,0,1,0,1,1,5
2,science,0,2,1,0,0,4
3,artificial,2,0,3,0,0,5
4,intelligence,0,3,2,0,0,7
5,AI,1,0,1,0,0,0
6,sometimes,0,2,1,1,0,5
7,called,1,1,0,0,0,4
8,machine,1,1,1,0,0,4
9,intelligence,0,3,2,0,0,7
10,is,0,0,1,0,0,1
11,intelligence,0,3,2,0,0,7
12,demonstrated,1,2,0,1,0,8
13,by,0,0,0,0,0,2
14,machines,1,1,1,0,0,5
15,in,0,0,1,0,0,1
16,contrast,1,0,0,1,0,6
17,to,0,0,0,1,0,1
18,the,0,1,0,0,0,2
19,natural,2,0,0,0,1,4
20,intelligence,0,3,2,0,0,7
21,displayed,1,1,1,0,0,6
22,by,0,0,0,0,0,2
23,humans,1,0,0,0,1,4
24,Leading,1,1,1,0,0,4
25,AI,1,0,1,0,0,0
26,textbooks,0,1,0,2,0,6
27,define,0,2,1,0,0,3
28,the,0,1,0,0,0,2
29,field,0,1,1,0,0,3
30,as,1,0,0,0,0,1
31,the,0,1,0,0,0,2
32,study,0,0,0,0,1,4
33,of,0,0,0,1,0,1
34,intelligent,0,2,2,0,0,7
35,agents,1,1,0,0,0,4
36,any,1,0,0,0,0,2
37,device,0,2,1,0,0,3
38,that,1,0,0,0,0,3
39,perceives,0,3,1,0,0,5
40,its,0,0,1,0,0,2
41,environment,0,2,1,1,0,7
42,and,1,0,0,0,0,2
43,takes,1,1,0,0,0,3
44,actions,1,0,1,1,0,4
45,that,1,0,0,0,0,3
46,maximize,1,1,2,0,0,4
47,its,0,0,1,0,0,2
48,chance,1,1,0,0,0,4
49,of,0,0,0,1,0,1
50,successfully,0,1,0,0,2,9
51,achieving,1,1,2,0,0,5
52,its,0,0,1,0,0,2
53,goals,1,0,0,1,0,3
54,Colloquially,1,0,1,2,1,7
55,the,0,1,0,0,0,2
56,term,0,1,0,0,0,3
57,artificial,2,0,3,0,0,5
58,intelligence,0,3,2,0,0,7
59,is,0,0,1,0,0,1
60,often,0,1,0,1,0,3
61,used,0,1,0,0,1,2
